product_id,product_name,brand_id,category_id,model_year,list_price,extraction_timestamp,data_source
1,Trek 820 - 2016,9,6,2016,379.99,2026-04-03T20:36:26,DeltaLake
2,Ritchey Timberwolf Frameset - 2016,5,6,2016,749.99,2026-04-03T20:36:26,DeltaLake
3,Surly Wednesday Frameset - 2016,8,6,2016,999.99,2026-04-03T20:36:26,DeltaLake
4,Trek Fuel Ex 8 29 - 2016,9,6,2016,2899.99,2026-04-03T20:36:26,DeltaLake
5,Heller Shagamaw Frame - 2016,3,6,2016,1320.99,2026-04-03T20:36:26,DeltaLake
6,Surly Ice Cream Truck Frameset - 2016,8,6,2016,469.99,2026-04-03T20:36:26,DeltaLake
7,Trek Slash 8 27.5 - 2016,9,6,2016,3999.99,2026-04-03T20:36:26,DeltaLake
8,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,1799.99,2026-04-03T20:36:26,DeltaLake
9,Trek Conduit+ - 2016,9,5,2016,2999.99,2026-04-03T20:36:26,DeltaLake
10,Surly Straggler - 2016,8,4,2016,1549.0,2026-04-03T20:36:26,DeltaLake
11,Surly Straggler 650B - 2016,8,4,2016,1680.99,2026-04-03T20:36:26,DeltaLake
12,Electra Townie Original 21D - 2016,1,3,2016,549.99,2026-04-03T20:36:26,DeltaLake
13,Electra Cruiser 1 (24-Inch) - 2016,1,3,2016,269.99,2026-04-03T20:36:26,DeltaLake
14,Electra Girl'S Hawaii 1 (16-Inch) - 2015/2016,1,3,2016,269.99,2026-04-03T20:36:26,DeltaLake
15,Electra Moto 1 - 2016,1,3,2016,529.99,2026-04-03T20:36:26,DeltaLake
16,Electra Townie Original 7D Eq - 2016,1,3,2016,599.99,2026-04-03T20:36:26,DeltaLake
17,Pure Cycles Vine 8-Speed - 2016,4,3,2016,429.0,2026-04-03T20:36:26,DeltaLake
18,Pure Cycles Western 3-Speed - Women'S - 2015/2016,4,3,2016,449.0,2026-04-03T20:36:26,DeltaLake
19,Pure Cycles William 3-Speed - 2016,4,3,2016,449.0,2026-04-03T20:36:26,DeltaLake
20,Electra Townie Original 7D Eq - Women'S - 2016,1,3,2016,599.99,2026-04-03T20:36:26,DeltaLake
21,Electra Cruiser 1 (24-Inch) - 2016,1,1,2016,269.99,2026-04-03T20:36:26,DeltaLake
22,Electra Girl'S Hawaii 1 (16-Inch) - 2015/2016,1,1,2016,269.99,2026-04-03T20:36:26,DeltaLake
23,Electra Girl'S Hawaii 1 (20-Inch) - 2015/2016,1,1,2016,299.99,2026-04-03T20:36:26,DeltaLake
24,Electra Townie Original 21D - 2016,1,2,2016,549.99,2026-04-03T20:36:26,DeltaLake
25,Electra Townie Original 7D - 2015/2016,1,2,2016,499.99,2026-04-03T20:36:26,DeltaLake
26,Electra Townie Original 7D Eq - 2016,1,2,2016,599.99,2026-04-03T20:36:26,DeltaLake
27,Surly Big Dummy Frameset - 2017,8,6,2017,999.99,2026-04-03T20:36:26,DeltaLake
28,Surly Karate Monkey 27.5+ Frameset - 2017,8,6,2017,2499.99,2026-04-03T20:36:26,DeltaLake
29,Trek X-Caliber 8 - 2017,9,6,2017,999.99,2026-04-03T20:36:26,DeltaLake
30,Surly Ice Cream Truck Frameset - 2017,8,6,2017,999.99,2026-04-03T20:36:26,DeltaLake
31,Surly Wednesday - 2017,8,6,2017,1632.99,2026-04-03T20:36:26,DeltaLake
32,Trek Farley Alloy Frameset - 2017,9,6,2017,469.99,2026-04-03T20:36:26,DeltaLake
33,Surly Wednesday Frameset - 2017,8,6,2017,469.99,2026-04-03T20:36:26,DeltaLake
34,Trek Session Dh 27.5 Carbon Frameset - 2017,9,6,2017,469.99,2026-04-03T20:36:26,DeltaLake
35,Sun Bicycles Spider 3I - 2017,7,6,2017,832.99,2026-04-03T20:36:26,DeltaLake
36,Surly Troll Frameset - 2017,8,6,2017,832.99,2026-04-03T20:36:26,DeltaLake
37,Haro Flightline One St - 2017,2,6,2017,379.99,2026-04-03T20:36:26,DeltaLake
38,Haro Flightline Two 26 Plus - 2017,2,6,2017,549.99,2026-04-03T20:36:26,DeltaLake
39,Trek Stache 5 - 2017,9,6,2017,1499.99,2026-04-03T20:36:26,DeltaLake
40,Trek Fuel Ex 9.8 29 - 2017,9,6,2017,4999.99,2026-04-03T20:36:26,DeltaLake
41,Haro Shift R3 - 2017,2,6,2017,1469.99,2026-04-03T20:36:26,DeltaLake
42,Trek Fuel Ex 5 27.5 Plus - 2017,9,6,2017,2299.99,2026-04-03T20:36:26,DeltaLake
43,Trek Fuel Ex 9.8 27.5 Plus - 2017,9,6,2017,5299.99,2026-04-03T20:36:26,DeltaLake
44,Haro Sr 1.1 - 2017,2,6,2017,539.99,2026-04-03T20:36:26,DeltaLake
45,Haro Sr 1.2 - 2017,2,6,2017,869.99,2026-04-03T20:36:26,DeltaLake
46,Haro Sr 1.3 - 2017,2,6,2017,1409.99,2026-04-03T20:36:26,DeltaLake
47,Trek Remedy 9.8 - 2017,9,6,2017,5299.99,2026-04-03T20:36:26,DeltaLake
48,Trek Emonda S 4 - 2017,9,7,2017,1499.99,2026-04-03T20:36:26,DeltaLake
49,Trek Domane Sl 6 - 2017,9,7,2017,3499.99,2026-04-03T20:36:26,DeltaLake
50,Trek Silque Slr 7 Women'S - 2017,9,7,2017,5999.99,2026-04-03T20:36:26,DeltaLake
51,Trek Silque Slr 8 Women'S - 2017,9,7,2017,6499.99,2026-04-03T20:36:26,DeltaLake
52,Surly Steamroller - 2017,8,7,2017,875.99,2026-04-03T20:36:26,DeltaLake
53,Surly Ogre Frameset - 2017,8,7,2017,749.99,2026-04-03T20:36:26,DeltaLake
54,Trek Domane Sl Disc Frameset - 2017,9,7,2017,3199.99,2026-04-03T20:36:26,DeltaLake
55,Trek Domane S 6 - 2017,9,7,2017,2699.99,2026-04-03T20:36:26,DeltaLake
56,Trek Domane Slr 6 Disc - 2017,9,7,2017,5499.99,2026-04-03T20:36:26,DeltaLake
57,Trek Emonda S 5 - 2017,9,7,2017,1999.99,2026-04-03T20:36:26,DeltaLake
58,Trek Madone 9.2 - 2017,9,7,2017,4999.99,2026-04-03T20:36:26,DeltaLake
59,Trek Domane S 5 Disc - 2017,9,7,2017,2599.99,2026-04-03T20:36:26,DeltaLake
60,Sun Bicycles Electrolite - 2017,7,5,2017,1559.99,2026-04-03T20:36:26,DeltaLake
61,Trek Powerfly 8 Fs Plus - 2017,9,5,2017,4999.99,2026-04-03T20:36:26,DeltaLake
62,Trek Boone 7 - 2017,9,4,2017,3499.99,2026-04-03T20:36:26,DeltaLake
63,Trek Boone Race Shop Limited - 2017,9,4,2017,3499.99,2026-04-03T20:36:26,DeltaLake
64,Electra Townie Original 7D - 2017,1,3,2017,489.99,2026-04-03T20:36:26,DeltaLake
65,Sun Bicycles Lil Bolt Type-R - 2017,7,3,2017,346.99,2026-04-03T20:36:26,DeltaLake
