order_id,item_id,product_id,quantity,list_price,discount,Extraction_Date,source,extraction_timestamp,data_source
1,1,20,1,599.99,0.2,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
1,2,8,2,1799.99,0.07,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
1,3,10,2,1549.0,0.05,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
1,4,16,2,599.99,0.05,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
1,5,4,1,2899.99,0.2,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
2,1,20,1,599.99,0.07,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
2,2,16,2,599.99,0.05,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
3,1,3,1,999.99,0.05,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
3,2,20,1,599.99,0.05,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
4,1,2,2,749.99,0.1,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
5,1,10,2,1549.0,0.05,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
5,2,17,1,429.0,0.07,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
5,3,26,1,599.99,0.07,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
6,1,18,1,449.0,0.07,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
6,2,12,2,549.99,0.05,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
6,3,20,1,599.99,0.1,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
6,4,3,2,999.99,0.07,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
6,5,9,2,2999.99,0.07,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
7,1,15,1,529.99,0.07,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
7,2,3,1,999.99,0.1,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
7,3,17,2,429.0,0.1,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
8,1,22,1,269.99,0.05,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
8,2,20,2,599.99,0.07,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
9,1,7,2,3999.99,0.1,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
10,1,14,1,269.99,0.1,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
11,1,8,1,1799.99,0.05,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
11,2,22,2,269.99,0.1,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
11,3,16,2,599.99,0.2,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
12,1,4,2,2899.99,0.1,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
12,2,11,1,1680.99,0.05,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
13,1,13,1,269.99,0.1,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
13,2,17,2,429.0,0.05,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
13,3,20,2,599.99,0.1,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
13,4,16,2,599.99,0.05,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
14,1,6,1,469.99,0.07,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
15,1,12,2,549.99,0.07,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
15,2,8,1,1799.99,0.07,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
15,3,18,2,449.0,0.05,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
15,4,23,2,299.99,0.2,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
16,1,8,1,1799.99,0.2,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
16,2,21,1,269.99,0.05,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
16,3,13,2,269.99,0.07,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
16,4,14,1,269.99,0.07,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
17,1,8,1,1799.99,0.07,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
17,2,23,1,299.99,0.1,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
17,3,5,1,1320.99,0.1,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
17,4,20,2,599.99,0.2,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
18,1,2,2,749.99,0.2,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
18,2,22,1,269.99,0.05,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
18,3,7,1,3999.99,0.1,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
18,4,25,2,499.99,0.05,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
18,5,9,2,2999.99,0.1,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
19,1,10,1,1549.0,0.07,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
19,2,9,2,2999.99,0.2,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
20,1,9,1,2999.99,0.07,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
20,2,10,2,1549.0,0.07,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
21,1,14,1,269.99,0.05,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
21,2,17,1,429.0,0.1,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
21,3,10,1,1549.0,0.07,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
22,1,15,2,529.99,0.2,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
22,2,22,1,269.99,0.05,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
23,1,4,2,2899.99,0.05,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
23,2,23,2,299.99,0.1,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
23,3,13,1,269.99,0.2,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
24,1,3,2,999.99,0.1,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
24,2,18,2,449.0,0.07,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
25,1,23,2,299.99,0.2,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
25,2,10,2,1549.0,0.2,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
25,3,22,1,269.99,0.2,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
25,4,14,1,269.99,0.2,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
25,5,21,1,269.99,0.1,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
26,1,7,1,3999.99,0.05,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
26,2,2,1,749.99,0.2,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
26,3,12,1,549.99,0.2,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
26,4,21,2,269.99,0.07,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
27,1,5,1,1320.99,0.2,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
27,2,19,1,449.0,0.2,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
27,3,26,2,599.99,0.07,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
27,4,8,1,1799.99,0.07,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
28,1,5,1,1320.99,0.05,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
28,2,7,2,3999.99,0.2,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
28,3,14,2,269.99,0.1,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
28,4,6,1,469.99,0.05,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
29,1,24,2,549.99,0.05,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
29,2,6,1,469.99,0.2,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
29,3,21,2,269.99,0.1,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
29,4,8,1,1799.99,0.2,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
29,5,14,2,269.99,0.05,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
30,1,26,1,599.99,0.05,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
30,2,17,1,429.0,0.07,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
30,3,19,1,449.0,0.1,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
30,4,4,1,2899.99,0.1,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
30,5,7,2,3999.99,0.1,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
31,1,11,2,1680.99,0.05,1714563465,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables
