store_id,product_id,quantity,extraction_timestamp,data_source
1,1,27,2026-04-03T20:36:26,DeltaLake
1,2,5,2026-04-03T20:36:26,DeltaLake
1,3,6,2026-04-03T20:36:26,DeltaLake
1,4,23,2026-04-03T20:36:26,DeltaLake
1,5,22,2026-04-03T20:36:26,DeltaLake
1,6,0,2026-04-03T20:36:26,DeltaLake
1,7,8,2026-04-03T20:36:26,DeltaLake
1,8,0,2026-04-03T20:36:26,DeltaLake
1,9,11,2026-04-03T20:36:26,DeltaLake
1,10,15,2026-04-03T20:36:26,DeltaLake
1,11,8,2026-04-03T20:36:26,DeltaLake
1,12,16,2026-04-03T20:36:26,DeltaLake
1,13,13,2026-04-03T20:36:26,DeltaLake
1,14,8,2026-04-03T20:36:26,DeltaLake
1,15,3,2026-04-03T20:36:26,DeltaLake
1,16,4,2026-04-03T20:36:26,DeltaLake
1,17,2,2026-04-03T20:36:26,DeltaLake
1,18,16,2026-04-03T20:36:26,DeltaLake
1,19,4,2026-04-03T20:36:26,DeltaLake
1,20,26,2026-04-03T20:36:26,DeltaLake
1,21,24,2026-04-03T20:36:26,DeltaLake
1,22,29,2026-04-03T20:36:26,DeltaLake
1,23,9,2026-04-03T20:36:26,DeltaLake
1,24,10,2026-04-03T20:36:26,DeltaLake
1,25,10,2026-04-03T20:36:26,DeltaLake
1,26,16,2026-04-03T20:36:26,DeltaLake
1,27,21,2026-04-03T20:36:26,DeltaLake
1,28,20,2026-04-03T20:36:26,DeltaLake
1,29,13,2026-04-03T20:36:26,DeltaLake
1,30,30,2026-04-03T20:36:26,DeltaLake
1,31,2,2026-04-03T20:36:26,DeltaLake
1,32,0,2026-04-03T20:36:26,DeltaLake
1,33,10,2026-04-03T20:36:26,DeltaLake
1,34,2,2026-04-03T20:36:26,DeltaLake
1,35,18,2026-04-03T20:36:26,DeltaLake
1,36,26,2026-04-03T20:36:26,DeltaLake
1,37,12,2026-04-03T20:36:26,DeltaLake
1,38,13,2026-04-03T20:36:26,DeltaLake
1,39,2,2026-04-03T20:36:26,DeltaLake
1,40,24,2026-04-03T20:36:26,DeltaLake
1,41,10,2026-04-03T20:36:26,DeltaLake
1,42,0,2026-04-03T20:36:26,DeltaLake
1,43,2,2026-04-03T20:36:26,DeltaLake
1,44,1,2026-04-03T20:36:26,DeltaLake
1,45,15,2026-04-03T20:36:26,DeltaLake
1,46,19,2026-04-03T20:36:26,DeltaLake
1,47,21,2026-04-03T20:36:26,DeltaLake
1,48,5,2026-04-03T20:36:26,DeltaLake
1,49,8,2026-04-03T20:36:26,DeltaLake
1,50,29,2026-04-03T20:36:26,DeltaLake
1,51,2,2026-04-03T20:36:26,DeltaLake
1,52,18,2026-04-03T20:36:26,DeltaLake
1,53,17,2026-04-03T20:36:26,DeltaLake
1,54,11,2026-04-03T20:36:26,DeltaLake
1,55,11,2026-04-03T20:36:26,DeltaLake
1,56,15,2026-04-03T20:36:26,DeltaLake
1,57,1,2026-04-03T20:36:26,DeltaLake
1,58,1,2026-04-03T20:36:26,DeltaLake
1,59,22,2026-04-03T20:36:26,DeltaLake
1,60,19,2026-04-03T20:36:26,DeltaLake
1,61,30,2026-04-03T20:36:26,DeltaLake
1,62,21,2026-04-03T20:36:26,DeltaLake
1,63,4,2026-04-03T20:36:26,DeltaLake
1,64,30,2026-04-03T20:36:26,DeltaLake
1,65,10,2026-04-03T20:36:26,DeltaLake
1,66,12,2026-04-03T20:36:26,DeltaLake
1,67,19,2026-04-03T20:36:26,DeltaLake
1,68,30,2026-04-03T20:36:26,DeltaLake
1,69,4,2026-04-03T20:36:26,DeltaLake
1,70,3,2026-04-03T20:36:26,DeltaLake
1,71,25,2026-04-03T20:36:26,DeltaLake
1,72,9,2026-04-03T20:36:26,DeltaLake
1,73,7,2026-04-03T20:36:26,DeltaLake
1,74,9,2026-04-03T20:36:26,DeltaLake
1,75,23,2026-04-03T20:36:26,DeltaLake
1,76,15,2026-04-03T20:36:26,DeltaLake
1,77,16,2026-04-03T20:36:26,DeltaLake
1,78,13,2026-04-03T20:36:26,DeltaLake
1,79,13,2026-04-03T20:36:26,DeltaLake
1,80,11,2026-04-03T20:36:26,DeltaLake
1,81,25,2026-04-03T20:36:26,DeltaLake
1,82,1,2026-04-03T20:36:26,DeltaLake
1,83,13,2026-04-03T20:36:26,DeltaLake
1,84,11,2026-04-03T20:36:26,DeltaLake
1,85,23,2026-04-03T20:36:26,DeltaLake
1,86,19,2026-04-03T20:36:26,DeltaLake
1,87,27,2026-04-03T20:36:26,DeltaLake
1,88,7,2026-04-03T20:36:26,DeltaLake
1,89,9,2026-04-03T20:36:26,DeltaLake
1,90,4,2026-04-03T20:36:26,DeltaLake
1,91,8,2026-04-03T20:36:26,DeltaLake
1,92,0,2026-04-03T20:36:26,DeltaLake
1,93,22,2026-04-03T20:36:26,DeltaLake
1,94,6,2026-04-03T20:36:26,DeltaLake
1,95,25,2026-04-03T20:36:26,DeltaLake
1,96,20,2026-04-03T20:36:26,DeltaLake
1,97,20,2026-04-03T20:36:26,DeltaLake
1,98,28,2026-04-03T20:36:26,DeltaLake
1,99,28,2026-04-03T20:36:26,DeltaLake
1,100,15,2026-04-03T20:36:26,DeltaLake
1,101,17,2026-04-03T20:36:26,DeltaLake
1,102,9,2026-04-03T20:36:26,DeltaLake
1,103,13,2026-04-03T20:36:26,DeltaLake
1,104,25,2026-04-03T20:36:26,DeltaLake
1,105,7,2026-04-03T20:36:26,DeltaLake
1,106,30,2026-04-03T20:36:26,DeltaLake
1,107,20,2026-04-03T20:36:26,DeltaLake
1,108,15,2026-04-03T20:36:26,DeltaLake
1,109,30,2026-04-03T20:36:26,DeltaLake
1,110,1,2026-04-03T20:36:26,DeltaLake
1,111,11,2026-04-03T20:36:26,DeltaLake
1,112,17,2026-04-03T20:36:26,DeltaLake
1,113,24,2026-04-03T20:36:26,DeltaLake
1,114,3,2026-04-03T20:36:26,DeltaLake
1,115,10,2026-04-03T20:36:26,DeltaLake
1,116,24,2026-04-03T20:36:26,DeltaLake
1,117,15,2026-04-03T20:36:26,DeltaLake
1,118,12,2026-04-03T20:36:26,DeltaLake
1,119,17,2026-04-03T20:36:26,DeltaLake
1,120,23,2026-04-03T20:36:26,DeltaLake
1,121,19,2026-04-03T20:36:26,DeltaLake
